episode,total_steps,episode_reward,reward_ma5,epsilon,episode_steps,mean_loss,elapsed_minutes
1,781,-21.0,-21.0,0.995,781,,0.016068506240844726
2,1726,-21.0,-21.0,0.990025,945,0.007574913932905092,0.06053848663965861
3,2708,-20.0,-20.666666666666668,0.985074875,982,0.008897384742314484,0.09941551685333253
4,3767,-19.0,-20.25,0.9801495006250001,1059,0.011394052094477625,0.1410326401392619
5,4736,-21.0,-20.4,0.9752487531218751,969,0.010518920592526959,0.17924468517303466
6,5660,-20.0,-20.2,0.9703725093562657,924,0.010819172392012421,0.21588331858317059
7,6651,-20.0,-20.0,0.9655206468094844,991,0.010622742031318553,0.25509732961654663
8,7624,-21.0,-20.2,0.960693043575437,973,0.011744021439016416,0.2941762049992879
9,8797,-20.0,-20.4,0.9558895783575597,1173,0.009044881847969984,0.3398496071497599
10,9559,-21.0,-20.4,0.9511101304657719,762,0.0077176246362413575,0.37052446603775024
11,10438,-21.0,-20.6,0.946354579813443,879,0.006972471235514439,0.40547199646631876
12,11357,-20.0,-20.6,0.9416228069143757,919,0.00743539065762256,0.4411122004191081
13,12318,-21.0,-20.6,0.9369146928798039,961,0.005691217771557907,0.47841256062189735
14,13249,-20.0,-20.6,0.9322301194154049,931,0.006294966854929251,0.5144197702407837
15,14041,-21.0,-20.6,0.9275689688183278,792,0.006035911192818524,0.5456348141034444
16,14941,-20.0,-20.4,0.9229311239742362,900,0.005857139786110363,0.5807030200958252
17,15703,-21.0,-20.6,0.918316468354365,762,0.0065891335168041555,0.6106544931729635
18,16544,-20.0,-20.4,0.9137248860125932,841,0.0051511154017039856,0.6436530669530233
19,17563,-21.0,-20.6,0.9091562615825302,1019,0.004138000881202898,0.6829148292541504
20,18353,-21.0,-20.6,0.9046104802746175,790,0.004330863648261364,0.7139682094256083
21,19237,-21.0,-20.8,0.9000874278732445,884,0.0050230196222680835,0.7483446915944417
22,20144,-21.0,-20.8,0.8955869907338783,907,0.004609274256920354,0.7837772409121195
23,21071,-21.0,-21.0,0.8911090557802088,927,0.00371736847487877,0.8198903719584147
24,21852,-21.0,-21.0,0.8866535105013078,781,0.005075785828123525,0.8510770201683044
25,22770,-20.0,-20.8,0.8822202429488013,918,0.0039861705492560216,0.8869049350420634
26,23652,-21.0,-20.8,0.8778091417340573,882,0.002640968626962287,0.9217012524604797
27,24673,-21.0,-20.8,0.8734200960253871,1021,0.003251392160574837,0.9614509542783102
28,25514,-20.0,-20.6,0.8690529955452602,841,0.002888488597887945,0.9944965322812398
29,26495,-20.0,-20.4,0.8647077305675338,981,0.0032505433490453524,1.0326635003089906
30,27695,-19.0,-20.2,0.8603841919146962,1200,0.00406456525878942,1.0791624188423157
31,28577,-21.0,-20.2,0.8560822709551227,882,0.0061085090642727545,1.1142601490020752
32,29367,-21.0,-20.2,0.851801859600347,790,0.00639217349865059,1.1458611965179444
33,30255,-20.0,-20.2,0.8475428503023453,888,0.004981072228032202,1.1814030845959982
34,31266,-19.0,-20.0,0.8433051360508336,1011,0.004496078589805052,1.2209202567736308
35,32109,-21.0,-20.4,0.8390886103705794,843,0.0035780056757878367,1.2546845952669778
36,33153,-20.0,-20.2,0.8348931673187264,1044,0.005230922513428212,1.2956308603286744
37,34125,-21.0,-20.2,0.8307187014821328,972,0.005805953172787185,1.334319543838501
38,34947,-21.0,-20.4,0.8265651079747222,822,0.004581070313866892,1.3670514901479085
39,35798,-21.0,-20.8,0.8224322824348486,851,0.004975437639953958,1.401101791858673
40,36560,-21.0,-20.8,0.8183201210226743,762,0.004101552294979938,1.4322295268376668
41,37384,-21.0,-21.0,0.8142285204175609,824,0.004345912155470623,1.4655824899673462
42,38225,-20.0,-20.8,0.810157377815473,841,0.0029509518224152824,1.499708358446757
43,39396,-18.0,-20.2,0.8061065909263957,1171,0.002474700258729889,1.54592231909434
44,40314,-19.0,-19.8,0.8020760579717637,918,0.004281761592774353,1.5824857155481975
45,41164,-21.0,-19.8,0.798065677681905,850,0.003277177276575398,1.61697967449824
46,42019,-20.0,-19.6,0.7940753492934954,855,0.002338573563419842,1.651743725935618
47,43039,-20.0,-19.6,0.7901049725470279,1020,0.0021165019519827966,1.692598327000936
48,43983,-21.0,-20.2,0.7861544476842928,944,0.001485681568368109,1.7304864327112834
49,44837,-21.0,-20.6,0.7822236754458713,854,0.0022811235390078856,1.7649726470311482
50,45677,-20.0,-20.4,0.778312557068642,840,0.0019922835393767204,1.7991686542828877
51,46595,-20.0,-20.4,0.7744209942832988,918,0.002371784936782587,1.8363705635070802
52,47569,-20.0,-20.4,0.7705488893118823,974,0.0024137243095448536,1.8759517828623453
