episode,total_steps,episode_reward,reward_ma5,epsilon,episode_steps,mean_loss,elapsed_minutes
1,781,-21.0,-21.0,0.995,781,,0.016066908836364746
2,1726,-21.0,-21.0,0.990025,945,0.005625446512263416,0.40700021187464397
3,2708,-20.0,-20.666666666666668,0.985074875,982,0.007652674384947969,0.44316800038019816
4,3638,-20.0,-20.5,0.9801495006250001,930,0.010878299008003649,0.4774787465731303
5,4460,-21.0,-20.6,0.9752487531218751,822,0.011684662223328328,0.508268662293752
6,5250,-21.0,-20.6,0.9703725093562657,790,0.010655394530857187,0.5379509131113688
7,6239,-20.0,-20.4,0.9655206468094844,989,0.01295697235940981,0.5743831992149353
8,7305,-19.0,-20.2,0.960693043575437,1066,0.010859145043165578,0.6136963566144308
9,8140,-20.0,-20.2,0.9558895783575597,835,0.013829961734391225,0.6450577060381572
10,8902,-21.0,-20.2,0.9511101304657719,762,0.015642547777660137,0.6740515073140462
11,9748,-21.0,-20.2,0.946354579813443,846,0.011522519101403441,0.7057440638542175
12,10629,-20.0,-20.2,0.9416228069143757,881,0.012558692762980751,0.7382409453392029
13,11391,-21.0,-20.6,0.9369146928798039,762,0.012157936574773263,0.7665240406990051
14,12475,-19.0,-20.4,0.9322301194154049,1084,0.012369253307720453,0.8054440498352051
15,13325,-21.0,-20.4,0.9275689688183278,850,0.011642365802155,0.8367586731910706
16,14251,-21.0,-20.4,0.9229311239742362,926,0.009018275971872844,0.870548665523529
17,15131,-21.0,-20.6,0.918316468354365,880,0.008980103713458282,0.9027115027109782
18,16135,-21.0,-20.6,0.9137248860125932,1004,0.0112020114151331,0.939122744401296
19,16976,-21.0,-21.0,0.9091562615825302,841,0.007881070272715639,0.9700600028038024
20,17827,-21.0,-21.0,0.9046104802746175,851,0.008306932715400625,1.0013631105422973
21,18589,-21.0,-21.0,0.9000874278732445,762,0.006564947135374072,1.0297588030497233
22,19501,-21.0,-21.0,0.8955869907338783,912,0.006946011686969749,1.063104546070099
23,20575,-18.0,-20.4,0.8911090557802088,1074,0.005533886865259095,1.101941978931427
24,21385,-21.0,-20.4,0.8866535105013078,810,0.006472404248288602,1.131936824321747
25,22371,-21.0,-20.4,0.8822202429488013,986,0.005729746680627592,1.1677576700846355
26,23281,-21.0,-20.4,0.8778091417340573,910,0.005294192203644087,1.2010768413543702
27,24090,-21.0,-20.4,0.8734200960253871,809,0.005795475367845614,1.231284777323405
28,24932,-21.0,-21.0,0.8690529955452602,842,0.005691192224080041,1.2624281565348308
29,25992,-21.0,-21.0,0.8647077305675338,1060,0.00583020641375388,1.3010990420977275
30,26782,-21.0,-21.0,0.8603841919146962,790,0.005380706626937848,1.3305865128835042
