episode,total_steps,episode_reward,reward_ma5,epsilon,episode_steps,mean_loss,elapsed_minutes
27,25220,-20.0,-20.4,0.8734200960253871,1248,0.004438577750242518,0.9642065763473511
28,26210,-19.0,-20.0,0.8690529955452602,990,0.005416407539698471,1.0026224414507547
29,26991,-21.0,-20.0,0.8647077305675338,781,0.006790201922651762,1.0339348355929057
30,27811,-21.0,-20.2,0.8603841919146962,820,0.004429030843098966,1.066630224386851
31,28633,-21.0,-20.4,0.8560822709551227,822,0.004159363750800676,1.0992703358332316
32,29423,-21.0,-20.6,0.851801859600347,790,0.004158369072185248,1.1307591597239177
33,30308,-21.0,-21.0,0.8475428503023453,885,0.003613556277159987,1.1658798416455587
34,31070,-21.0,-21.0,0.8433051360508336,762,0.0033051876953992944,1.196321475505829
35,31952,-21.0,-21.0,0.8390886103705794,882,0.003095351363167723,1.2314358711242677
36,32848,-21.0,-21.0,0.8348931673187264,896,0.0030269023719873595,1.267262081305186
37,33767,-20.0,-20.8,0.8307187014821328,919,0.002838256293816256,1.3038392265637715
38,34862,-20.0,-20.6,0.8265651079747222,1095,0.0023824961342548026,1.346543538570404
39,36081,-18.0,-20.0,0.8224322824348486,1219,0.002229118479661964,1.3940881093343098
40,37057,-20.0,-19.8,0.8183201210226743,976,0.0023308183726392776,1.4331695199012757
41,37879,-21.0,-19.8,0.8142285204175609,822,0.002228939129329264,1.4665890177090963
42,38923,-20.0,-19.8,0.810157377815473,1044,0.0028604964825027653,1.507748015721639
43,39870,-19.0,-19.6,0.8061065909263957,947,0.002889867915747587,1.5456595500310262
44,40711,-21.0,-20.2,0.8020760579717637,841,0.0020226420127506745,1.579591699441274
45,41575,-20.0,-20.2,0.798065677681905,864,0.002514061721571866,1.6142311731974284
46,42397,-21.0,-20.2,0.7940753492934954,822,0.0035608767071802134,1.6471767187118531
47,43293,-20.0,-20.2,0.7901049725470279,896,0.002088013509949503,1.682997175057729
48,44330,-20.0,-20.4,0.7861544476842928,1037,0.0020986987470804704,1.723808232943217
49,45400,-19.0,-20.0,0.7822236754458713,1070,0.002232296112414411,1.7663038611412047
50,46330,-20.0,-20.0,0.778312557068642,930,0.0025175489250802365,1.8034247398376464
51,47152,-21.0,-20.0,0.7744209942832988,822,0.0026151480091604613,1.8370427767435709
52,48062,-21.0,-20.2,0.7705488893118823,910,0.0022116425700189797,1.87395844856898
53,49008,-20.0,-20.2,0.7666961448653229,946,0.002106925275552289,1.912360183397929
54,49936,-21.0,-20.6,0.7628626641409962,928,0.0020317103947271446,1.949873960018158
55,50726,-21.0,-20.8,0.7590483508202912,790,0.0018187090686181452,1.9822105288505554
56,51661,-19.0,-20.4,0.7552531090661897,935,0.0026655695371282026,2.0200393637021383
57,52702,-20.0,-20.2,0.7514768435208588,1041,0.0016521091509415643,2.0617383122444153
58,53584,-21.0,-20.4,0.7477194593032545,882,0.0032130850122320228,2.097546382745107
59,54436,-21.0,-20.4,0.7439808620067382,852,0.0029102470819713185,2.132318703333537
60,55254,-21.0,-20.4,0.7402609576967045,818,0.0013988792419624195,2.165669087568919
61,56185,-20.0,-20.6,0.736559652908221,931,0.001982434820686067,2.203157083193461
62,57196,-19.0,-20.4,0.7328768546436799,1011,0.0019916059702852,2.2437567114830017
63,57986,-21.0,-20.4,0.7292124703704616,790,0.0017563807737433262,2.276066307226817
64,58838,-21.0,-20.4,0.7255664080186093,852,0.001996152138268081,2.310680357615153
65,59828,-20.0,-20.2,0.7219385759785162,990,0.0012573227937654366,2.350909094015757
66,60648,-21.0,-20.4,0.7183288830986236,820,0.0019647317525729106,2.3845568895339966
67,61518,-21.0,-20.8,0.7147372386831305,870,0.0016504928191293843,2.419963808854421
68,62346,-21.0,-20.8,0.7111635524897149,828,0.0015336648852239331,2.453980827331543
69,63362,-20.0,-20.6,0.7076077347272662,1016,0.0020976614958229,2.4951160391171774
70,64294,-20.0,-20.6,0.7040696960536299,932,0.00214501622641587,2.5330731829007465
71,65231,-20.0,-20.4,0.7005493475733617,937,0.0024633939133192864,2.5714378555615744
72,66208,-20.0,-20.2,0.697046600835495,977,0.0022133657874477725,2.611237708727519
73,67054,-21.0,-20.2,0.6935613678313175,846,0.0018322146039729788,2.645946462949117
74,68070,-20.0,-20.2,0.6900935609921609,1016,0.0018105669308377717,2.6870462536811828
75,68920,-21.0,-20.4,0.6866430931872001,850,0.0016433287819381803,2.7222840785980225
76,69800,-21.0,-20.6,0.6832098777212641,880,0.0029168025364263235,2.758139503002167
77,70590,-21.0,-20.8,0.6797938283326578,790,0.00198574958442708,2.790923289457957
78,71517,-21.0,-20.8,0.6763948591909945,927,0.001407003012241932,2.828928764661153
79,72405,-20.0,-20.8,0.6730128848950395,888,0.00233127393827696,2.8653513391812644
80,73167,-21.0,-20.8,0.6696478204705644,762,0.0018015509884878012,2.897221354643504
